"MONTH","FISHERY_CODE","TARGET_SPECIES_CODE","GRID_CODE","ESTIMATION_CODE","DATA_TYPE_CODE","DATA_SOURCE_CODE","DATA_PROCESSING_CODE","DATA_RAISING_CODE","COVERAGE_TYPE_CODE","COVERAGE","PRIMARY_EFFORT_CODE","PRIMARY_EFFORT","ALB_MT","BET_MT","FRI_MT","SKJ_MT","SWO_KG","SWO_NO","YFT_MT"
1,"ELL","SWO","6200045","AV","PR","OB","TE","NR","UN",0,"HOOKS",2000,,,,,3974,106,
1,"ELL","SWO","6200050","AV","PR","OB","TE","NR","UN",0,"HOOKS",24000,,,,,24071,919,
1,"ELL","SWO","6225055","AV","PR","OB","TE","NR","UN",0,"HOOKS",14400,,,,,10454,211,
1,"ELL","SWO","6230035","AV","PR","OB","TE","NR","UN",0,"HOOKS",58800,,,,,24959,494,
1,"ELL","SWO","6230040","AV","PR","OB","TE","NR","UN",0,"HOOKS",18000,,,,,5424,113,
1,"PSFS","AG35","5100059","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",5.78,,0.36,,,,,2.4
1,"PSFS","AG35","5100063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",2.7,,,,,,,
1,"PSFS","AG35","5100064","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",12.08,11.91,12.37,,,,,41.96
1,"PSFS","AG35","5100067","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",80.14,,106.85,,,,,168.12
1,"PSFS","AG35","5100068","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",4.13,,,,,,,
1,"PSFS","AG35","5101062","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",12.03,,,,,,,
1,"PSFS","AG35","5101063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",82.47,,79.49,,109.01,,,292.51
1,"PSFS","AG35","5101064","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",72.3,1,64.09,,90.17,,,226.13
1,"PSFS","AG35","5101065","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",197.27,10.92,161.79,,4.77,,,169.65
1,"PSFS","AG35","5101066","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",50.6,1.99,18.63,,15.53,,,51.62
1,"PSFS","AG35","5101067","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",77.87,,269.4,,,,,224.48
1,"PSFS","AG35","5101068","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",5.72,,,,,,,
1,"PSFS","AG35","5102062","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",88.04,1.04,100.08,,77.57,,,229.68
1,"PSFS","AG35","5102063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",182.84,,203.67,,13.88,,,781.02
1,"PSFS","AG35","5102064","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",142.68,,93.06,,62.4,,,252.19
1,"PSFS","AG35","5102065","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",51.53,,19.82,,16.4,,,132.79
1,"PSFS","AG35","5102066","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",27.38,,24.41,,52.17,,,106.36
1,"PSFS","AG35","5102067","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",22.06,,39.25,,29.81,,,95.77
1,"PSFS","AG35","5102068","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",4.57,,41.82,,,,,73.33
1,"PSFS","AG35","5103061","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",8.12,,43.68,,,,,82.35
1,"PSFS","AG35","5103062","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",11.93,,5.79,,,,,39.14
1,"PSFS","AG35","5103063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",52.44,,46.39,,51.43,,,116.1
1,"PSFS","AG35","5103064","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",131.82,,36.66,,162.67,,,236.27
1,"PSFS","AG35","5103065","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",6.01,,3.93,,,,,26.58
1,"PSFS","AG35","5104059","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",23.75,,0.22,,3.87,,,1.19
1,"PSFS","AG35","5104063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",41.07,,94.38,,31.85,,,209.03
1,"PSFS","AG35","5105062","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",17.35,,1.28,,,,,12.01
1,"PSFS","AG35","5105063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",11.82,,,,,,,
1,"PSFS","AG35","5106061","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",17.62,,13.74,,,,,20.71
1,"PSFS","AG35","5110066","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",5.78,,2.17,,,,,29.63
1,"PSFS","AG35","5203077","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",28.2,,,,,,,
1,"PSLS","AG35","5100056","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",29.92,,12.03,,36.91,,,14.27
1,"PSLS","AG35","5100058","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",12.08,,,,,,,
1,"PSLS","AG35","5100059","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",30.48,,11.5,,47.15,,,13.6
1,"PSLS","AG35","5100060","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",36.25,,3.25,,13.31,,,3.84
1,"PSLS","AG35","5100062","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",27.59,,13.21,,54.11,,,15.6
1,"PSLS","AG35","5100063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",15.34,,2.03,,6.38,,,2.42
1,"PSLS","AG35","5100064","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",6.04,,,,,,,
1,"PSLS","AG35","5100065","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",6.04,,,,,,,
1,"PSLS","AG35","5100066","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",6,,0.83,,3.4,,,0.98
1,"PSLS","AG35","5100067","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",6.73,,9.17,,20.73,,,10.91
1,"PSLS","AG35","5100068","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",14.66,,0.83,,3.4,,,0.98
1,"PSLS","AG35","5101055","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",12.03,,1.27,,5.2,,,1.5
1,"PSLS","AG35","5101056","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",6.28,,12.62,,51.76,,,14.92
1,"PSLS","AG35","5101057","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",24.06,,0.15,,0.62,,,0.18
1,"PSLS","AG35","5101058","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",24.06,,1.68,,6.9,,,1.99
1,"PSLS","AG35","5101059","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",12.03,,,,,,,
1,"PSLS","AG35","5101060","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",12.03,,,,,,,
1,"PSLS","AG35","5101061","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",42.08,,23.21,,81.24,,,27.48
1,"PSLS","AG35","5101062","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",24.06,,,,,,,
1,"PSLS","AG35","5101063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",22.63,,15.71,,64.41,,,18.57
1,"PSLS","AG35","5101064","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",48.12,,5,,7.36,,,5.95
1,"PSLS","AG35","5101065","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",111.71,,14.64,,47.89,,,17.33
1,"PSLS","AG35","5101066","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",33.67,2.98,17.84,,54.11,,,21.17
1,"PSLS","AG35","5101067","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",33.46,,8.23,,33.71,,,9.72
1,"PSLS","AG35","5101068","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",48.32,,18.61,,66.82,,,22.04
1,"PSLS","AG35","5101069","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",6.12,,5.78,,23.68,,,6.83
1,"PSLS","AG35","5102059","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",11.98,,2.49,,10.21,,,2.94
1,"PSLS","AG35","5102060","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",23.96,,27.08,,111.02,,,32
1,"PSLS","AG35","5102061","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",21.83,,12.55,,51.46,,,14.84
1,"PSLS","AG35","5102062","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",29.23,,13.77,,54.31,,,16.27
1,"PSLS","AG35","5102063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",43.75,,31.51,,89.59,,,37.39
1,"PSLS","AG35","5102064","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",42.33,,7.46,,28.77,,,8.83
1,"PSLS","AG35","5102065","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",27.35,,11.03,,43.1,,,13.03
1,"PSLS","AG35","5102067","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",5.87,,4.82,,19.72,,,5.69
1,"PSLS","AG35","5102068","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",11.98,,2.98,,12.2,,,3.51
1,"PSLS","AG35","5102069","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",6,,0.83,,3.4,,,0.98
1,"PSLS","AG35","5103059","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",11.93,,,,,,,
1,"PSLS","AG35","5103061","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",23.85,,4.89,,20.02,,,5.77
1,"PSLS","AG35","5103062","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",16.05,,4.62,,18.91,,,5.45
1,"PSLS","AG35","5103063","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",11.93,,,,,,,
1,"PSLS","AG35","5103064","SS","FI","RS","LS","RT","TR",0.7,"FHOURS",11.93,,4.07,,12.72,,,4.82
